FILE	 Wves_predicted	 Wves_actual	 coherence	 thresh_predicted	 thresh_actual_d0	 coherence	 thresh_actual_all	 thresh_actual_pm	 bias_delta0	 Wves_actual_minus	 Wves_actual_plus
m24c118r2.htb	0.983	1.215	60	39.229	15.769	60	52.631	71.062	-3.597	-0.435	2.865
m24c115r2.htb	0.025	-0.435	16	18.515	18.006	16	17.845	17.764	-7.378	-1.007	0.137
m24c115r2.htb	0.002	-0.168	60	5.606	6.595	60	5.957	5.638	-0.58	-0.234	-0.102
m24c115r2.htb	0.025	-0.435	16	18.515	18.006	16	17.845	17.764	-7.378	-1.007	0.137
m24c115r2.htb	0.002	-0.161	60	5.487	6.595	60	5.998	5.7	-0.58	-0.22	-0.102
m24c112r2.htb	0.041	0.775	16	25.957	0.238	16	3.024	4.417	0	-0.229	1.779
m24c112r2.htb	0	0.055	60	1.986	1.507	60	2.4	2.847	-1.603	0.126	-0.016
m24c111r2.htb	0.732	1.659	16	20.012	16.382	16	94.09	132.944	4.421	-0.978	4.297
m24c111r2.htb	0.864	0.235	60	21.736	26.352	60	26.658	26.811	-0.432	-0.181	0.651
m24c111r2.htb	0.875	1.082	16	23.896	20.195	16	35.837	43.658	-2.697	1.215	0.95
m24c111r2.htb	0.868	0.369	60	23.807	16.61	60	21.815	24.418	-2.208	0.889	-0.15
m24c111r2.htb	0.483	-0.302	16	19.397	32.83	16	131.793	181.275	6.711	1.613	-2.217
m24c111r2.htb	0.952	-0.317	60	27.245	29.747	60	24.407	21.737	-5.433	-1.809	1.176
m24c111r2.htb	0.926	-0.884	16	16.279	24.859	16	148.832	210.818	0.955	3.612	-5.38
m24c111r2.htb	0.997	0.71	60	16.889	97.203	60	48.875	24.712	-6.151	-1.063	2.484
m24c111r2.htb	0.986	1.607	16	17.946	17.447	16	27.755	32.909	2.19	0.812	2.401
m24c111r2.htb	0.894	-0.036	60	17.094	15.698	60	21.052	23.729	-0.74	0.155	-0.228
m24c110r2.htb	0.987	-2.423	16	19.056	125.841	16	125.436	125.234	7.95	-3.603	-1.242
m24c110r2.htb	0.152	-0.202	60	7.471	10.023	60	10.142	10.202	1.866	-0.777	0.373
m24c106r2.htb	0.004	-1.043	16	19.08	15.386	16	16.371	16.864	2.971	-0.393	-1.694
m24c106r2.htb	0	-0.605	60	5.325	4.891	60	5.721	6.137	0.919	-1.056	-0.154
m24c105r2.htb	0.221	-10.678	16	28.145	112.944	16	167.045	194.096	-32.38	-14.305	-7.05
m24c105r2.htb	0.626	0.117	60	47.393	44.093	60	43.652	43.432	-0.772	1.053	-0.819
m24c105r2.htb	0.315	-13.819	16	42.025	95.335	16	125.631	140.779	55.894	8.618	-36.256
m24c105r2.htb	0.893	1.43	60	70.778	45.046	60	47.618	48.904	3.423	1.667	1.192
m24c103r2.htb	0.436	-4.9	16	22.795	26.254	16	52.99	66.357	10.718	6.628	-16.429
m24c103r2.htb	0.984	-3.612	60	34.228	19.444	60	112.081	158.4	2.865	1.384	-8.609
m24c103r2.htb	0.385	-4.407	16	21.411	36.856	16	50.732	57.67	23.81	9.901	-18.716
m24c103r2.htb	0.866	5.365	60	32.123	23.351	60	113.596	158.719	2.187	1.449	9.282
m24c103r2.htb	0.024	0.948	16	18.68	43.054	16	39.31	37.438	5.454	1.562	0.334
m24c103r2.htb	0.06	0.649	60	29.452	9.089	60	10.109	10.62	-1.076	0.127	1.171
m24c164r1.htb	0.606	1	16	19.078	19.807	16	15.426	13.236	13.543	3.296	-1.295
m24c164r1.htb	0.196	-0.253	60	10.856	4.742	60	6.401	7.23	-7.608	0.057	-0.563
m24c160r2.htb	0.054	0.3	16	15.312	11.839	16	14.134	15.282	2.321	0.765	-0.165
m24c160r2.htb	0.004	-0.243	60	4.383	3.504	60	4.346	4.767	-0.107	-0.18	-0.306
m24c166r2.htb	0.836	-0.157	16	121.659	65.158	16	132.505	166.178	14.431	5.048	-5.361
m24c166r2.htb	0.727	-0.178	60	113.46	72.206	60	52.661	42.888	10.538	0.8	-1.156
m24c166r2.htb	0.004	-0.382	16	19.575	300	16	117.927	26.891	68.748	18.095	-18.859
m24c166r2.htb	0.065	6.152	60	76.203	18.289	60	112.792	160.044	5.379	12.56	-0.257
m24c166r2.htb	0.018	0.242	16	40.422	300	16	119.532	29.298	11.838	3.976	-3.492
m24c166r2.htb	0.044	9.922	60	63.114	18.289	60	111.343	157.869	5.379	18.796	1.048
m24c166r2.htb	0.281	1.453	16	158.893	31.311	16	28.359	26.883	-7.863	-0.371	3.277
m24c166r2.htb	0.025	-104.552	60	47.342	42.356	60	124.81	166.037	5.579	-209.802	0.698
m24c18r2.htb	0.571	6.211	15	72.195	108.519	15	171.068	202.343	3.27	4.89	7.532
m24c18r2.htb	0.025	-0.379	60	15.039	17.505	60	107.458	152.435	2.85	0.599	-1.358
m24c18r2.htb	0.651	-0.22	15	26.891	55.628	15	86.206	101.496	-4.106	0.294	-0.734
m24c18r2.htb	0.312	28.481	60	18.621	47.745	60	129.027	169.668	-16.356	-2.006	58.969
m24c36r2.htb	0.984	0.573	18	9.509	12.956	18	16.054	17.603	2.1	0.326	0.821
m24c36r2.htb	0.922	0.664	60	9.203	8.535	60	11.878	13.55	2.435	0.169	1.16
m24c36r2.htb	0.766	1.068	18	4.164	7.786	18	12.206	14.416	0.928	1.237	0.899
m24c36r2.htb	0.801	0.937	60	4.258	6.846	60	13.038	16.134	1.107	0.521	1.353
m24c37r2.htb	0.033	-0.027	18	9.408	9.627	18	9.362	9.23	-0.723	0.194	-0.247
m24c37r2.htb	0.004	-0.126	60	3.422	4.42	60	4.055	3.873	-0.138	-0.225	-0.026
m24c37r2.htb	0.03	-0.041	18	9.107	8.934	18	8.936	8.938	-0.193	0.168	-0.251
m24c37r2.htb	0.004	-0.202	60	3.375	4.539	60	3.803	3.435	-0.072	-0.381	-0.022
m24c37r2.htb	0.026	-0.019	18	10.646	8.726	18	8.567	8.488	-0.359	0.136	-0.174
m24c37r2.htb	0.003	-0.17	60	3.734	4.3	60	3.995	3.843	-0.004	-0.276	-0.064
m24c37r2.htb	0.033	-0.027	18	9.408	9.627	18	9.362	9.23	-0.723	0.194	-0.247
m24c37r2.htb	0.004	-0.126	60	3.422	4.42	60	4.055	3.873	-0.138	-0.225	-0.026
m24c37r2.htb	0.807	0.738	18	49.608	47.444	18	47.025	46.815	1.54	0.725	0.751
m24c37r2.htb	0.124	0.376	60	19.431	23.134	60	21.714	21.003	1.063	0.398	0.353
m24c37r2.htb	0.624	1.062	18	63.011	41.69	18	58.03	66.2	0.537	0.808	1.315
m24c37r2.htb	0.071	0.222	60	21.32	31.061	60	25.248	22.342	1.338	0.272	0.172
m24c37r2.htb	0.771	0.678	18	43.296	40.865	18	33.056	29.152	3.276	0.943	0.413
m24c37r2.htb	0.091	0.333	60	14.838	22.022	60	20.842	20.252	0.933	0.63	0.036
m24c37r2.htb	0.807	0.738	18	49.608	47.444	18	47.025	46.815	1.54	0.725	0.751
m24c37r2.htb	0.124	0.376	60	19.431	23.134	60	21.714	21.003	1.063	0.398	0.353
m24c37r2.htb	0.882	0.448	18	29.488	36.864	18	28.997	25.063	4.293	0.631	0.265
m24c37r2.htb	0.16	0.424	60	12.557	15.672	60	16.754	17.294	-1.188	0.565	0.284
m24c49r2.htb	0.342	50.954	18	29.064	113.633	18	237.878	300	-9.532	88.291	13.618
m24c49r2.htb	0.973	0.198	60	49.013	300	60	132.559	48.839	-17.241	-5.222	5.617
m24c49r2.htb	0.44	-2.741	18	39.847	42.659	18	134.646	180.64	10.17	12.843	-18.324
