FILE	 azimuth	 stim_type	 delta	 coherence	 bias	 bias_lower	 bias_upper	 thresh	 thresh_lower	 thresh_upper	 pct_correct	 num_reps	 norm_rev
m18c0r152.htb	90.000	3.000	0.000	25.000	-3.741	-6.183	-2.400	2.843	1.489	5.768	0.629	9.000	AllTrials	
m18c0r152.htb	90.000	3.000	0.000	70.000	-1.600	-2.720	-1.118	0.835	0.263	 NaN	0.743	9.000	AllTrials	
m18c0r152.htb	90.000	3.000	2.000	25.000	-2.853	-4.282	-2.054	1.955	0.474	3.666	0.614	9.000	AllTrials	
m18c0r152.htb	90.000	3.000	2.000	70.000	-1.318	-2.409	-0.870	1.030	0.517	 NaN	0.771	9.000	AllTrials	
m18c0r155.htb	90.000	1.000	0.000	15.000	4.018	1.843	7.705	4.935	2.539	11.857	0.661	8.000	AllTrials	
m18c0r155.htb	90.000	2.000	0.000	15.000	1.787	0.890	3.345	2.324	1.390	 NaN	0.768	8.000	AllTrials	
m18c0r155.htb	90.000	2.000	0.000	50.000	0.560	-0.046	1.353	1.268	0.819	 NaN	0.893	8.000	AllTrials	
m18c0r155.htb	90.000	3.000	-2.000	15.000	0.798	-0.230	1.895	2.323	1.203	4.271	0.821	8.000	AllTrials	
m18c0r155.htb	90.000	3.000	-2.000	50.000	1.138	0.176	2.328	2.131	1.221	 NaN	0.821	8.000	AllTrials	
m18c0r155.htb	90.000	3.000	0.000	15.000	0.567	-0.410	1.657	2.430	1.192	4.588	0.768	8.000	AllTrials	
m18c0r155.htb	90.000	3.000	0.000	50.000	0.283	-0.165	0.913	0.855	0.576	 NaN	0.929	8.000	AllTrials	
m18c0r155.htb	90.000	3.000	2.000	15.000	-0.838	-2.190	0.245	2.639	1.422	4.888	0.714	8.000	AllTrials	
m18c0r155.htb	90.000	3.000	2.000	50.000	-0.112	-0.659	0.378	0.837	0.268	2.089	0.875	8.000	AllTrials	
m18c0r158.htb	90.000	1.000	0.000	15.000	1.709	-0.021	4.548	4.660	2.588	15.298	0.755	7.000	AllTrials	
m18c0r158.htb	90.000	2.000	0.000	15.000	2.980	1.958	5.348	2.644	1.836	 NaN	0.796	7.000	AllTrials	
m18c0r158.htb	90.000	2.000	0.000	50.000	0.977	0.162	1.984	1.503	0.766	 NaN	0.796	7.000	AllTrials	
m18c0r158.htb	90.000	3.000	-2.000	15.000	-0.835	-3.232	0.835	4.811	3.152	 NaN	0.673	7.000	AllTrials	
m18c0r158.htb	90.000	3.000	-2.000	50.000	1.024	0.541	1.433	0.809	0.363	 NaN	0.898	7.000	AllTrials	
m18c0r158.htb	90.000	3.000	0.000	15.000	0.081	-1.011	1.804	2.485	0.898	5.580	0.776	7.000	AllTrials	
m18c0r158.htb	90.000	3.000	0.000	50.000	-0.001	-0.575	0.677	0.867	0.180	2.218	0.878	7.000	AllTrials	
m18c0r158.htb	90.000	3.000	2.000	15.000	-0.139	-0.139	-0.007	2.634	2.634	2.872	0.755	7.000	AllTrials	
m18c0r158.htb	90.000	3.000	2.000	50.000	-0.323	-1.332	0.461	1.678	0.894	 NaN	0.816	7.000	AllTrials	
m18c0r161.htb	90.000	1.000	0.000	13.000	3.525	1.876	7.985	4.727	2.318	10.688	0.668	9.000	AllTrials	
m18c0r161.htb	90.000	2.000	0.000	13.000	1.124	0.205	2.093	1.761	1.020	4.716	0.843	9.000	AllTrials	
m18c0r161.htb	90.000	2.000	0.000	50.000	0.755	0.206	1.512	1.130	0.596	 NaN	0.833	9.000	AllTrials	
m18c0r161.htb	90.000	3.000	-2.000	13.000	-0.827	-2.162	0.233	2.935	1.754	5.077	0.738	9.000	AllTrials	
m18c0r161.htb	90.000	3.000	-2.000	50.000	0.462	-0.011	1.062	1.095	0.717	 NaN	0.871	9.000	AllTrials	
m18c0r161.htb	90.000	3.000	0.000	13.000	-1.343	-3.487	-0.398	3.184	1.733	6.567	0.649	9.000	AllTrials	
m18c0r161.htb	90.000	3.000	0.000	50.000	0.285	-0.334	0.967	1.242	0.763	 NaN	0.846	9.000	AllTrials	
m18c0r161.htb	90.000	3.000	2.000	13.000	-1.771	-3.400	-0.819	2.895	1.844	 NaN	0.698	9.000	AllTrials	
m18c0r161.htb	90.000	3.000	2.000	50.000	-0.521	-1.105	-0.164	0.903	0.561	 NaN	0.863	9.000	AllTrials	
m18c0r163.htb	90.000	1.000	0.000	11.000	4.197	1.867	8.393	5.767	3.365	14.481	0.671	10.000	AllTrials	
m18c0r163.htb	90.000	2.000	0.000	11.000	1.506	0.285	3.365	3.761	2.282	7.104	0.729	10.000	AllTrials	
m18c0r163.htb	90.000	2.000	0.000	50.000	0.033	-0.303	0.410	0.594	0.241	 NaN	0.900	10.000	AllTrials	
m18c0r163.htb	90.000	3.000	-2.000	11.000	-1.571	-4.024	-0.530	3.688	2.574	 NaN	0.643	10.000	AllTrials	
m18c0r163.htb	90.000	3.000	-2.000	50.000	0.367	-0.098	0.884	0.755	0.382	2.094	0.886	10.000	AllTrials	
m18c0r163.htb	90.000	3.000	0.000	11.000	-0.337	-1.437	0.458	1.989	0.788	3.785	0.757	10.000	AllTrials	
m18c0r163.htb	90.000	3.000	0.000	50.000	0.024	-0.432	0.527	0.927	0.599	 NaN	0.871	10.000	AllTrials	
m18c0r163.htb	90.000	3.000	2.000	11.000	0.135	-1.183	1.206	3.350	2.344	 NaN	0.771	10.000	AllTrials	
m18c0r163.htb	90.000	3.000	2.000	50.000	-1.085	-1.901	-0.688	0.901	0.449	 NaN	0.786	10.000	AllTrials	
m18c0r166.htb	90.000	1.000	0.000	11.000	-1.537	-5.234	0.385	6.860	3.579	16.200	0.649	11.000	AllTrials	
m18c0r166.htb	90.000	2.000	0.000	11.000	-0.364	-2.069	0.746	3.821	2.575	 NaN	0.779	11.000	AllTrials	
m18c0r166.htb	90.000	2.000	0.000	50.000	-1.023	-1.824	-0.634	0.975	0.555	 NaN	0.792	11.000	AllTrials	
m18c0r166.htb	90.000	3.000	-2.000	11.000	0.104	-1.400	1.364	3.794	2.547	7.838	0.714	11.000	AllTrials	
m18c0r166.htb	90.000	3.000	-2.000	50.000	-0.342	-1.070	0.188	1.218	0.729	 NaN	0.805	11.000	AllTrials	
m18c0r166.htb	90.000	3.000	0.000	11.000	0.113	-1.005	0.891	2.103	1.013	4.064	0.818	11.000	AllTrials	
