FILE 10_bias 20_bias 30_bias 10_thresh 20_thresh 30_thresh 11_bias 21_bias 31_bias 11_thresh 21_thresh 31_thresh 1_shift_p 2_shift_p 3_shift_p 1_slope_p 2_slope_p 3_slope_p	
m5c656r3.htb 0.686 0.426 0.554 1.242 1.691 1.066 0.957 -0.114 0.548 1.302 2.085 1.379 0.302 0.049 0.539 0.888 0.412 0.264 
m5c661r3.htb 0.452 -0.690 1.842 0.899 0.039 -0.710 1.584 1.050 0.188 0.687 0.551 0.857 
m5c665r3.htb 0.510 0.711 0.074 1.318 1.991 1.028 0.555 0.829 1.298 1.518 1.894 1.719 0.853 0.771 0.000 0.723 0.785 0.084 
m5c667r3.htb -0.031 -0.792 -0.237 1.472 1.668 1.339 0.469 1.654 0.870 1.155 2.114 1.154 0.015 0.000 0.000 0.457 0.383 0.497 
m5c671r3.htb 0.431 0.033 0.394 1.725 1.754 1.399 0.706 -0.175 0.245 1.461 1.342 1.308 0.216 0.419 0.603 0.522 0.284 0.778 
m5c676r3.htb 0.742 -0.716 0.417 1.424 1.490 1.512 0.765 0.383 0.532 1.614 1.806 1.414 0.795 0.002 0.571 0.615 0.852 0.776 
m5c679r3.htb 1.214 -0.436 2.784 0.863 0.594 -0.841 2.088 1.108 0.988 0.209 0.026 0.300 
m5c682r3.htb 0.075 0.848 0.745 1.051 1.394 1.145 0.636 1.420 1.240 1.021 1.852 0.998 0.048 0.142 0.010 0.755 0.659 0.562 
m5c685r3.htb 0.076 1.060 0.219 1.582 2.029 0.946 -0.027 2.317 0.803 1.263 2.308 1.036 0.683 0.011 0.008 0.394 0.725 0.810 
m5c745r4.htb 0.063 0.041 0.020 0.910 2.004 1.558 0.518 1.911 0.327 1.458 2.797 1.338 0.081 0.006 0.351 0.974 0.406 0.639 
m5c750r4.htb 0.031 -0.240 -0.208 1.120 2.143 1.342 0.889 -1.204 -0.016 1.625 2.771 0.796 0.004 0.018 0.994 0.180 0.024 0.950 
m5c755r3.htb 0.477 -2.210 -0.791 1.712 2.236 1.074 0.672 4.623 0.566 1.854 3.002 0.845 0.624 0.000 0.000 0.766 0.277 0.573 
m5c759r3.htb 0.795 -1.458 0.208 1.349 2.298 0.896 0.439 -2.736 -0.093 2.318 2.245 1.745 0.019 0.003 0.102 0.042 0.393 0.030 
m5c762r3.htb -0.094 -1.040 -0.047 0.809 2.502 1.085 0.392 0.315 0.325 1.333 1.767 1.285 0.018 0.000 0.060 0.039 0.144 0.462 
m5c771r3.htb 0.610 0.741 0.437 1.384 1.750 0.699 0.988 -0.975 0.467 1.247 2.403 0.938 0.025 0.000 0.169 0.380 0.221 0.044 
m5c777r3.htb 0.385 -0.162 0.160 1.634 1.481 1.212 0.047 -2.820 -1.021 1.083 1.860 1.244 0.215 0.000 0.000 0.061 0.016 0.910 
m5c780r3.htb 0.440 0.451 0.673 1.773 1.475 1.198 0.093 -0.223 0.274 1.243 1.977 1.162 0.255 0.029 0.052 0.111 0.535 0.864 
m5c780r3.htb 0.504 0.442 0.766 1.583 1.140 1.254 0.107 -0.197 0.366 1.324 1.603 1.192 0.146 0.035 0.085 0.428 0.780 0.793 
m5c785r3.htb -0.340 -0.376 -0.296 1.512 2.564 1.489 -0.531 -2.451 -0.872 1.207 1.990 1.164 0.232 0.000 0.004 0.370 0.690 0.306 
m5c790r3.htb 0.187 -0.098 0.245 1.000 2.260 1.040 -0.197 -2.009 -0.116 1.211 2.522 0.866 0.053 0.000 0.073 0.325 0.723 0.499 
m5c795r3.htb -0.021 0.812 -0.105 1.114 1.477 0.495 -0.282 -0.461 -0.617 0.902 1.506 0.770 0.089 0.000 0.014 0.348 0.917 0.881 
m5c799r3.htb 0.584 0.078 0.019 2.334 1.144 0.980 0.295 -3.681 -0.335 1.536 1.602 1.033 0.741 0.000 0.126 0.174 0.292 0.974 
m5c802r3.htb 0.038 0.166 0.069 0.920 1.223 0.810 -0.072 0.097 0.347 0.908 1.605 0.596 0.304 0.612 0.056 0.727 0.260 0.727 
m5c807r3.htb 0.046 -0.019 -0.248 1.315 1.397 0.721 -0.187 -1.677 -0.546 1.313 1.220 0.982 0.272 0.000 0.261 0.998 0.716 0.185 
m5c814r3.htb -0.115 -1.141 0.137 1.347 1.768 0.963 -0.093 -0.950 0.059 1.108 1.474 1.491 0.993 0.992 0.567 0.475 0.563 0.115 
m5c814r3.htb -0.115 -1.141 0.137 1.347 1.768 0.963 -0.093 -0.950 0.059 1.108 1.474 1.491 0.993 0.992 0.567 0.475 0.563 0.115 
m5c818r3.htb -0.058 0.762 -0.011 0.944 2.427 0.593 0.146 0.218 0.214 1.055 1.287 0.965 0.269 0.365 0.071 0.648 0.026 0.271 
